"","unit_id","unit_type","step","month_id","last_month_id_of_data_used","chadefaux_s2"
"483",62356,"pgm",2,488,486,0.00072018710309704
"484",62356,"pgm",2,489,487,0.00072018710309704
"485",62356,"pgm",2,490,488,0.00072018710309704
"1080",79599,"pgm",2,488,486,0.00072018710309704
"1081",79599,"pgm",2,489,487,0.00072018710309704
"1082",79599,"pgm",2,490,488,0.00072018710309704
"1681",79600,"pgm",2,488,486,0.00072018710309704
"1682",79600,"pgm",2,489,487,0.00072018710309704
"1683",79600,"pgm",2,490,488,0.00072018710309704
"2282",79601,"pgm",2,488,486,0.00072018710309704
"2283",79601,"pgm",2,489,487,0.00072018710309704
"2284",79601,"pgm",2,490,488,0.00072018710309704
"2882",80317,"pgm",2,488,486,0.00072018710309704
"2883",80317,"pgm",2,489,487,0.00072018710309704
"2884",80317,"pgm",2,490,488,0.00072018710309704
"3476",80318,"pgm",2,488,486,0.00072018710309704
"3477",80318,"pgm",2,489,487,0.00072018710309704
"3478",80318,"pgm",2,490,488,0.00072018710309704
"4074",80319,"pgm",2,488,486,0.00072018710309704
"4075",80319,"pgm",2,489,487,0.00072018710309704
"4076",80319,"pgm",2,490,488,0.00072018710309704
"4672",80320,"pgm",2,488,486,0.00072018710309704
"4673",80320,"pgm",2,489,487,0.00072018710309704
"4674",80320,"pgm",2,490,488,0.00072018710309704
"5264",80321,"pgm",2,488,486,0.00072018710309704
"5265",80321,"pgm",2,489,487,0.00072018710309704
"5266",80321,"pgm",2,490,488,0.00072018710309704
"5862",80322,"pgm",2,488,486,0.00072018710309704
"5863",80322,"pgm",2,489,487,0.00072018710309704
"5864",80322,"pgm",2,490,488,0.00072018710309704
"6458",80323,"pgm",2,488,486,0.00072018710309704
"6459",80323,"pgm",2,489,487,0.00072018710309704
"6460",80323,"pgm",2,490,488,0.00072018710309704
"7055",80324,"pgm",2,488,486,0.00072018710309704
"7056",80324,"pgm",2,489,487,0.00072018710309704
"7057",80324,"pgm",2,490,488,0.00072018710309704
"7652",80325,"pgm",2,488,486,0.00072018710309704
"7653",80325,"pgm",2,488,486,0.00072018710309704
"7654",80325,"pgm",2,489,487,0.00072018710309704
